Top Level Branch,Top Level Sold To,Zone,Top Level Order,Top Level Line,Last Next Status,Shipment Number(s),TL SO Alert,ECD,ECD Notes,Line Creation,Top Level Type,Schedule Pick Date,Promised Delivery Date,Top Level Item,Supply Item Description,SRP1,SC Rep,Line Amount,Region Zone
Branch 1,Customer_5725,West,ORD979385,LINE942260,Delivered,SHP607593,,2021-07-07,on track,2021-06-26,Type 3,2021-06-28,2021-07-09,Product_2047,Description of item,314.1,Rep A,6284.57,Zone B
Branch 2,Customer_1478,East,ORD511328,LINE751062,On Hold,SHP217964,,2025-01-25,demand surge,2024-12-21,Type 1,2024-12-23,2025-01-08,Product_8591,Description of item,27.4,Rep C,5804.15,Zone D
Branch 4,Customer_6969,South,ORD601081,LINE281110,On Hold,SHP716060,,2022-05-05,supplier price changes,2022-03-23,Type 2,2022-03-25,2022-04-21,Product_10104,Description of item,371.18,Rep D,7932.74,Zone A
Branch 2,Customer_2571,North,ORD235895,LINE853706,Delivered,SHP871471,,2022-01-26,customs backlog,2021-12-29,Type 3,2021-12-31,2022-01-07,Product_2451,Description of item,487.23,Rep C,6346.75,Zone C
Branch 4,Customer_9149,North,ORD162338,LINE458078,Shipped,SHP642460,,2024-11-20,on track,2024-10-24,Type 2,2024-10-26,2024-11-21,Product_4722,Description of item,462.05,Rep C,6749.76,Zone D
Branch 3,Customer_7798,East,ORD557963,LINE531061,Delivered,SHP964424,,2023-12-29,inventory mismatch,2023-12-13,Type 2,2023-12-15,2023-12-20,Product_5451,Description of item,91.7,Rep A,8351.19,Zone B
Branch 1,Customer_6235,West,ORD521283,LINE358716,Processing,SHP785742,,2023-06-23,on track,2023-06-04,Type 3,2023-06-06,2023-06-25,Product_7451,Description of item,71.77,Rep C,9668.63,Zone A
Branch 3,Customer_8430,North,ORD599223,LINE950303,Delivered,SHP838326,URGENT,2022-03-21,on track,2022-03-09,Type 1,2022-03-11,2022-03-21,Product_1135,Description of item,107.78,Rep D,1770.19,Zone C
Branch 2,Customer_6343,East,ORD299773,LINE670908,Processing,SHP703448,,2022-08-15,on track,2022-08-04,Type 3,2022-08-06,2022-08-15,Product_2836,Description of item,449.42,Rep D,2559.27,Zone D
Branch 3,Customer_2752,West,ORD599093,LINE446386,Shipped,SHP178459,,2024-04-13,holiday backlog,2024-03-18,Type 2,2024-03-20,2024-03-28,Product_7396,Description of item,269.16,Rep C,5661.61,Zone D
